family,arm,case,time_s,net_difference_kwh
T1,MPC,dir_p2,1260,45.73616685776138
T1,MPC,dir_p2,1280,46.61700998710166
T1,MPC,dir_p2,1300,44.95204596626833
T1,MPC,dir_p2,1320,44.51348786904611
T1,MPC,dir_p2,1340,45.78227081696278
T1,MPC,dir_p2,1360,47.81185813640722
T1,MPC,dir_p2,1380,46.60914413380305
T1,MPC,dir_p2,1400,45.027709662879104
T1,MPC,dir_p2,1420,44.12269528440687
T1,MPC,dir_p2,1440,44.31067495107354
T1,MPC,dir_p2,1460,45.7204640239902
T1,MPC,dir_p2,1480,46.91498521669854
T1,MPC,dir_p2,1500,48.36693472190689
T1,MPC,dir_p2,1520,49.40444500142077
T1,MPC,dir_p2,1540,50.941968628156886
T1,MPC,dir_p2,1560,50.16739954829576
T1,MPC,dir_p2,1580,50.99808877746243
T1,MPC,dir_p2,1600,51.70758699648327
T1,MPC,dir_p2,1620,52.1101844374555
T1,MPC,dir_p2,1640,54.86223398606661
T1,MPC,dir_p2,1660,58.01798074474716
T1,MPC,dir_p2,1680,60.678302958288825
T1,MPC,dir_p2,1700,60.321684977386056
T1,MPC,dir_p2,1720,61.523078894052716
T1,MPC,dir_p2,1740,62.70703765012911
T1,MPC,dir_p2,1760,66.13268677686523
T1,MPC,dir_p2,1780,68.54636461974717
T1,MPC,dir_p2,1800,66.86995771631241
T1,MPC,dir_p2,1820,67.27397183436797
T1,MPC,dir_p2,1840,67.52028008610408
T1,MPC,dir_p2,1860,66.64793977273602
T1,MPC,dir_p2,1880,65.82836231874298
T1,MPC,dir_p2,1900,65.73700122152074
T1,MPC,dir_p2,1920,66.22901096631242
T1,MPC,dir_p2,1940,66.48334293419435
T1,MPC,dir_p2,1960,65.30591991509714
T1,MPC,dir_p2,1980,64.12547967724991
T1,MPC,dir_p2,2000,62.81531985433324
T1,MPC,dir_p2,2020,62.60433500884713
T1,MPC,dir_p2,2040,61.43407288558325
T1,MPC,dir_p2,2060,61.31022755919436
T1,MPC,dir_p2,2080,61.32885746891658
T1,MPC,dir_p2,2100,61.904244817006855
T1,MPC,dir_p2,2120,62.126256444611016
T1,MPC,dir_p2,2140,62.26727952099991
T1,MPC,dir_p2,2160,64.23596216509713
T1,MPC,dir_p2,2180,65.93574885954158
T1,MPC,dir_p2,2200,68.00541661388185
T1,MPC,dir_p2,2220,70.08829700884714
T1,MPC,dir_p2,2240,72.20776226318742
T1,MPC,dir_p2,2260,76.12247036735407
T1,MPC,dir_p2,2280,77.75418608263186
T1,lookup,dir_p2,0,0.0
T1,lookup,dir_p2,20,0.0
T1,lookup,dir_p2,40,0.0
T1,lookup,dir_p2,60,0.0
T1,lookup,dir_p2,80,0.0
T1,lookup,dir_p2,100,0.0
T1,lookup,dir_p2,120,0.0
T1,lookup,dir_p2,140,0.0
T1,lookup,dir_p2,160,0.0
T1,lookup,dir_p2,180,0.0
T1,lookup,dir_p2,200,-1.1711029778408475
T1,lookup,dir_p2,220,-2.9040835175001356
T1,lookup,dir_p2,240,-5.098587229166666
T1,lookup,dir_p2,260,-7.200640215277779
T1,lookup,dir_p2,280,-10.009093302083334
T1,lookup,dir_p2,300,-12.267763097222222
T1,lookup,dir_p2,320,-15.012256359375002
T1,lookup,dir_p2,340,-17.305623949652777
T1,lookup,dir_p2,360,-18.776410524305557
T1,lookup,dir_p2,380,-20.344048309027777
T1,lookup,dir_p2,400,-20.263008375000002
T1,lookup,dir_p2,420,-20.36206769097222
T1,lookup,dir_p2,440,-19.017351869791668
T1,lookup,dir_p2,460,-15.642809147569446
T1,lookup,dir_p2,480,-12.460921522569445
T1,lookup,dir_p2,500,-10.670004473958334
T1,lookup,dir_p2,520,-5.501255477430556
T1,lookup,dir_p2,540,-3.9723809635416667
T1,lookup,dir_p2,560,-1.0035839739583332
T1,lookup,dir_p2,580,-3.3949756927083334
T1,lookup,dir_p2,600,-6.193035632393731
T1,lookup,dir_p2,620,2.6901927808007127
T1,lookup,dir_p2,640,13.096813829411825
T1,lookup,dir_p2,660,15.50850430510627
T1,lookup,dir_p2,680,17.889814530800713
T1,lookup,dir_p2,700,23.23965350649516
T1,lookup,dir_p2,720,24.42176116621738
T1,lookup,dir_p2,740,27.738130287745157
T1,lookup,dir_p2,760,32.95701905163405
T1,lookup,dir_p2,780,37.862899489134044
T1,lookup,dir_p2,800,40.97931984805977
T1,lookup,dir_p2,820,47.29899673000421
T1,lookup,dir_p2,840,53.47758770222644
T1,lookup,dir_p2,860,63.62706185847644
T1,lookup,dir_p2,880,67.12943831680977
T1,lookup,dir_p2,900,69.28883006680977
