cell,family,segments,updates,time_s,cumulative_net_difference_kwh,farm_MW,noyaw_MW
OC-73090801__T1,T1,1,2,380,-0.44572512705071765,7.3495005625,7.3594466875
OC-73090801__T1,T1,1,2,400,-1.0621530507799783,7.7894055625,7.81423321875
OC-73090801__T1,T1,1,2,420,-1.0448008754327562,8.4799715,8.438784625
OC-73090801__T1,T1,1,2,440,-0.7231945091133118,9.9634371875,9.8810420625
OC-73090801__T1,T1,1,2,460,-0.18992007855775628,11.469709375,11.43159825
OC-73090801__T1,T1,1,2,480,0.19351316102557703,13.5756623125,13.4528861875
OC-73090801__T1,T1,1,2,500,0.8055000464422438,13.987068125,13.8832150625
OC-73090801__T1,T1,1,2,520,0.9579555950533548,14.9940154375,15.0585355
OC-73090801__T1,T1,1,2,540,0.7300817478311329,14.30121025,14.2668485625
OC-73090801__T1,T1,1,2,560,1.4746353415811329,15.5127526875,15.3673894375
OC-73090801__T1,T1,1,2,580,1.6333089978311328,15.739917125,15.7727634375
OC-73090801__T1,T1,1,2,600,0.17315496368895644,14.6999229375,14.90980575
OC-73090801__T1,T1,1,2,620,-0.005120737699932709,14.0717111875,13.82160675
OC-73090801__T1,T1,1,2,640,0.8823308074389562,13.9957365,13.929470375
OC-73090801__T1,T1,1,2,660,2.1313723074389563,14.2355535,14.1568856875
OC-73090801__T1,T1,1,2,680,3.3813861373000673,13.5322805,13.123746625
OC-73090801__T1,T1,1,2,700,4.858987446327846,14.367261375,14.5244975625
OC-73090801__T1,T1,1,2,720,4.7824208699389565,12.931824125,12.8973336875
OC-73090801__T1,T1,1,2,740,6.138876758827846,13.694279875,13.138918125
OC-73090801__T1,T1,1,2,760,7.881202019244513,12.8304061875,12.5071934375
OC-73090801__T1,T1,1,2,780,9.969346328272291,14.0543278125,13.949527375
OC-73090801__T1,T1,1,2,800,9.660105104873022,12.8518515625,12.5847695
OC-73090801__T1,T1,1,2,820,11.932273226400799,12.908170125,12.31285315625
OC-73090801__T1,T1,1,2,840,14.781036427789688,13.97235875,13.667599
OC-73090801__T1,T1,1,2,860,16.466909986817466,13.57577225,13.568679875
OC-73090801__T1,T1,1,2,880,14.637031215984132,13.25279625,13.5212941875
OC-73090801__T1,T1,1,2,900,15.690722476400799,12.318803375,12.0209179375
