family,time_s,turbine,row,MPC_disk_normal_m_s,NOYAW_disk_normal_m_s,MPC_filtered_disk_m_s,NOYAW_filtered_disk_m_s,delta_filtered_disk_m_s,yaw_deg
T1,1460,3,1,5.087908744812012,5.222970962524414,5.0924973487854,5.228909969329834,-0.1364126205444336,12.979378700256348
T1,1460,4,2,3.7026734352111816,3.518303394317627,3.720545768737793,3.5145199298858643,0.2060258388519287,4.519399642944336
T1,1460,5,2,3.8974335193634033,3.864753246307373,3.9142518043518066,3.877354621887207,0.03689718246459961,2.914369583129883
T1,1460,6,2,4.060608386993408,3.7880547046661377,4.0445990562438965,3.7980666160583496,0.24653244018554688,7.315794944763184
T1,1460,7,3,4.321619033813477,4.152328014373779,4.211636066436768,4.008173942565918,0.2034621238708496,-0.27764981985092163
T1,1460,8,3,3.3232803344726562,3.3677682876586914,3.337677001953125,3.3903279304504395,-0.05265092849731445,0.4038945436477661
T1,1460,9,3,4.180631637573242,3.861881971359253,4.218107223510742,3.8406057357788086,0.3775014877319336,-1.8581138849258423
T1,1480,1,1,5.137571334838867,5.136260509490967,5.1351470947265625,5.134970188140869,0.00017690658569335938,4.128695011138916
T1,1480,2,1,4.571822643280029,4.561713218688965,4.574578285217285,4.561963081359863,0.012615203857421875,3.820920705795288
T1,1480,3,1,5.256087779998779,5.346285820007324,5.2365522384643555,5.318386077880859,-0.0818338394165039,12.979378700256348
T1,1480,4,2,3.7891082763671875,3.5164952278137207,3.7908694744110107,3.5159952640533447,0.274874210357666,4.519399642944336
T1,1480,5,2,3.6365392208099365,3.650200843811035,3.6347153186798096,3.645968437194824,-0.011253118515014648,2.914369583129883
T1,1480,6,2,4.158681869506836,3.824716567993164,4.176810264587402,3.836235523223877,0.3405747413635254,7.315794944763184
T1,1480,7,3,4.301551342010498,4.472105026245117,4.360956192016602,4.502933502197266,-0.14197731018066406,-0.27764981985092163
T1,1480,8,3,3.5605666637420654,3.557832956314087,3.575679063796997,3.550528049468994,0.02515101432800293,0.4038945436477661
T1,1480,9,3,3.4515140056610107,3.8766708374023438,3.4554367065429688,3.901238441467285,-0.4458017349243164,-1.8581138849258423
T1,1500,1,1,5.011417388916016,4.984628200531006,5.0375237464904785,5.013837814331055,0.023685932159423828,4.128695011138916
T1,1500,2,1,4.850449085235596,4.893662929534912,4.848208904266357,4.890601634979248,-0.042392730712890625,3.820920705795288
T1,1500,3,1,5.07431697845459,5.178170204162598,5.093256950378418,5.189614295959473,-0.09635734558105469,12.979378700256348
T1,1500,4,2,3.652467966079712,3.4715726375579834,3.650308132171631,3.464529514312744,0.18577861785888672,4.519399642944336
T1,1500,5,2,3.4757790565490723,3.5027363300323486,3.4766688346862793,3.5061306953430176,-0.02946186065673828,2.914369583129883
T1,1500,6,2,4.25737190246582,3.891627073287964,4.237832546234131,3.8730013370513916,0.36483120918273926,7.315794944763184
T1,1500,7,3,3.8798046112060547,3.9460954666137695,3.878305435180664,3.9708619117736816,-0.09255647659301758,-0.27764981985092163
T1,1500,8,3,3.494346857070923,3.459589719772339,3.479783058166504,3.4545373916625977,0.02524566650390625,0.4038945436477661
T1,1500,9,3,4.322396278381348,4.026042461395264,4.275979995727539,3.980945348739624,0.29503464698791504,-1.8581138849258423
T1,1520,1,1,5.004292011260986,5.022134304046631,5.0238776206970215,5.0371246337890625,-0.013247013092041016,4.128695011138916
T1,1520,2,1,4.802669048309326,4.817349910736084,4.846643924713135,4.859551429748535,-0.01290750503540039,3.820920705795288
T1,1520,3,1,5.061184883117676,5.181064605712891,5.063743591308594,5.176263809204102,-0.11252021789550781,12.979378700256348
T1,1520,4,2,3.517421245574951,3.441194534301758,3.495182991027832,3.4212985038757324,0.07388448715209961,4.519399642944336
T1,1520,5,2,3.370739221572876,3.3679802417755127,3.387179374694824,3.38720703125,-2.765655517578125e-05,2.914369583129883
T1,1520,6,2,4.383975505828857,3.870205879211426,4.411280632019043,3.90671968460083,0.5045609474182129,7.315794944763184
T1,1520,7,3,3.8452181816101074,3.743178606033325,3.840202808380127,3.738933563232422,0.10126924514770508,-0.27764981985092163
T1,1520,8,3,3.351850748062134,3.288121461868286,3.3441836833953857,3.278334140777588,0.06584954261779785,0.4038945436477661
T1,1520,9,3,3.76865816116333,3.6311378479003906,3.7838644981384277,3.6790413856506348,0.10482311248779297,-1.8581138849258423
T1,1540,1,1,5.151575088500977,5.144833564758301,5.171562194824219,5.165642738342285,0.005919456481933594,4.128695011138916
T1,1540,2,1,4.820857524871826,4.814338684082031,4.801713943481445,4.792971611022949,0.008742332458496094,3.820920705795288
T1,1540,3,1,4.998839855194092,5.070870876312256,5.0040364265441895,5.069286823272705,-0.06525039672851562,12.979378700256348
T1,1540,4,2,3.7485063076019287,3.7589447498321533,3.7370498180389404,3.760580539703369,-0.02353072166442871,4.519399642944336
T1,1540,5,2,3.4670140743255615,3.4386446475982666,3.4411559104919434,3.4160876274108887,0.025068283081054688,2.914369583129883
T1,1540,6,2,4.350219249725342,3.953463315963745,4.364776611328125,3.933448553085327,0.43132805824279785,7.315794944763184
T1,1540,7,3,4.071803092956543,3.741114377975464,4.038076400756836,3.7669153213500977,0.2711610794067383,-0.27764981985092163
T1,1540,8,3,4.189571857452393,4.146402359008789,4.188599109649658,4.135419845581055,0.053179264068603516,0.4038945436477661
T1,1540,9,3,4.503176689147949,4.671198844909668,4.483396053314209,4.5505900382995605,-0.06719398498535156,-1.8581138849258423
T1,1560,1,1,5.116531848907471,5.110983371734619,5.082830905914307,5.081989765167236,0.0008411407470703125,4.128695011138916
T1,1560,2,1,4.7232279777526855,4.720099449157715,4.7279767990112305,4.720765590667725,0.007211208343505859,3.820920705795288
T1,1560,3,1,5.163503646850586,5.210366725921631,5.198008060455322,5.242441177368164,-0.0444331169128418,12.979378700256348
T1,1560,4,2,3.606854200363159,3.687962293624878,3.5911335945129395,3.6650776863098145,-0.073944091796875,4.519399642944336
