family,forecast_level,arm,time_s,cumulative_net_difference_kwh
T2,ideal,lookup,960,-29.22354485821025
T2,ideal,lookup,980,-28.6048242575158
T2,ideal,lookup,1000,-29.597927677654692
T2,ideal,lookup,1020,-32.42138026446025
T2,ideal,lookup,1040,-34.68189525057136
T2,ideal,lookup,1060,-35.05161353876581
T2,ideal,lookup,1080,-35.788133868626915
T2,ideal,lookup,1100,-37.06939503529358
T2,ideal,lookup,1120,-39.21028565334914
T2,ideal,lookup,1140,-41.61593063598802
T2,ideal,lookup,1160,-44.60735331654358
T2,ideal,lookup,1180,-46.84847266029358
T2,ideal,lookup,1200,-53.04391934729514
T2,ideal,lookup,1220,-60.43843015218438
T2,ideal,lookup,1240,-65.44842137787882
T2,ideal,lookup,1260,-70.31742634662884
T2,ideal,lookup,1280,-76.18490497857327
T2,ideal,lookup,1300,-81.0353995619066
T2,ideal,lookup,1320,-83.50670869385105
T2,ideal,lookup,1340,-85.06419176676772
T2,ideal,lookup,1360,-85.19209875982328
T2,ideal,lookup,1380,-85.76847358621217
T2,ideal,lookup,1400,-84.86807189697605
T2,ideal,lookup,1420,-82.4094464820455
T2,ideal,lookup,1440,-79.89696853412883
T2,ideal,lookup,1460,-76.2748389369066
T2,ideal,lookup,1480,-71.79690215912882
